Image,Detected Object(s),Generated_Image_Path
15150.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\15150.jpeg
1516.jpeg,['comic book'],images\1516.jpeg
1517.jpeg,"['Arabian camel, dromedary, Camelus dromedarius', 'sorrel', 'horse cart, horse-cart', 'rifle', 'ski']",images\1517.jpeg
15170.jpeg,['comic book'],images\15170.jpeg
15174.jpeg,"['web site, website, internet site, site', 'monitor', 'book jacket, dust cover, dust jacket, dust wrapper', 'television, television system']",images\15174.jpeg
15178.jpeg,"['alp', 'valley, vale']",images\15178.jpeg
1518.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'web site, website, internet site, site', 'skunk, polecat, wood pussy']",images\1518.jpeg
15187.jpeg,"['monitor', 'television, television system', 'streetcar, tram, tramcar, trolley, trolley car', 'desk', 'barbershop']",images\15187.jpeg
1519.jpeg,"['rifle', 'assault rifle, assault gun', 'military uniform']",images\1519.jpeg
15191.jpeg,"['bobsled, bobsleigh, bob', 'racer, race car, racing car', 'snowmobile']",images\15191.jpeg
15197.jpeg,"['lakeside, lakeshore', 'half track', 'tank, army tank, armored combat vehicle, armoured combat vehicle', 'jeep, landrover', 'canoe']",images\15197.jpeg
1520.jpeg,"['tractor', 'half track', 'jeep, landrover', 'lawn mower, mower', 'amphibian, amphibious vehicle']",images\1520.jpeg
15206.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'maraca']",images\15206.jpeg
15211.jpeg,"['spotlight, spot', 'scuba diver', 'television, television system', 'monitor', 'projector']",images\15211.jpeg
1522.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'fountain']",images\1522.jpeg
1523.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\1523.jpeg
15236.jpeg,['comic book'],images\15236.jpeg
1524.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'brass, memorial tablet, plaque']",images\1524.jpeg
1525.jpeg,"['theater curtain, theatre curtain', 'television, television system', 'web site, website, internet site, site', 'monitor', 'book jacket, dust cover, dust jacket, dust wrapper']",images\1525.jpeg
15250.jpeg,"['toy poodle', 'cocker spaniel, English cocker spaniel, cocker', 'miniature schnauzer', 'miniature poodle', 'soft-coated wheaten terrier']",images\15250.jpeg
15251.jpeg,"['ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus', 'toy poodle', 'standard poodle', 'pickup, pickup truck', 'Samoyed, Samoyede']",images\15251.jpeg
1526.jpeg,"['analog clock', 'wall clock', 'minivan', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\1526.jpeg
1527.jpeg,"['baboon', 'gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus', 'comic book']",images\1527.jpeg
15273.jpeg,"['valley, vale', 'baboon', 'cliff, drop, drop-off', 'geyser', 'alp']",images\15273.jpeg
15278.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'jigsaw puzzle']",images\15278.jpeg
1529.jpeg,"['ear, spike, capitulum', 'corn', 'leafhopper']",images\1529.jpeg
15292.jpeg,"['canoe', 'paddle, boat paddle']",images\15292.jpeg
1530.jpeg,"['spotlight, spot', 'submarine, pigboat, sub, U-boat', 'alp', 'valley, vale', 'steam locomotive']",images\1530.jpeg
15306.jpeg,"['groenendael', 'schipperke']",images\15306.jpeg
15310.jpeg,"['lakeside, lakeshore', 'dam, dike, dyke', 'sandbar, sand bar', 'flagpole, flagstaff', 'breakwater, groin, groyne, mole, bulwark, seawall, jetty']",images\15310.jpeg
15318.jpeg,"['valley, vale', 'spotlight, spot', 'canoe']",images\15318.jpeg
15329.jpeg,"['comic book', 'spotlight, spot', 'bannister, banister, balustrade, balusters, handrail', 'fountain', 'book jacket, dust cover, dust jacket, dust wrapper']",images\15329.jpeg
1533.jpeg,"['alp', 'suspension bridge', 'dam, dike, dyke', 'bobsled, bobsleigh, bob', 'spotlight, spot']",images\1533.jpeg
15334.jpeg,"['stage', 'cinema, movie theater, movie theatre, movie house, picture palace', 'torch', 'go-kart', 'racer, race car, racing car']",images\15334.jpeg
15336.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'orangutan, orang, orangutang, Pongo pygmaeus', 'gibbon, Hylobates lar']",images\15336.jpeg
15344.jpeg,"['recreational vehicle, RV, R.V.', 'mountain tent', 'mobile home, manufactured home']",images\15344.jpeg
15347.jpeg,"['recreational vehicle, RV, R.V.', 'mobile home, manufactured home', 'tripod']",images\15347.jpeg
15355.jpeg,"['geyser', 'fountain']",images\15355.jpeg
1536.jpeg,"['web site, website, internet site, site', 'comic book', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'book jacket, dust cover, dust jacket, dust wrapper', 'gibbon, Hylobates lar']",images\1536.jpeg
15361.jpeg,"['macaque', 'baboon', 'patas, hussar monkey, Erythrocebus patas', 'jeep, landrover']",images\15361.jpeg
1537.jpeg,"['fountain', 'manhole cover', 'maze, labyrinth', 'ballplayer, baseball player', 'doormat, welcome mat']",images\1537.jpeg
15371.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'comic book', 'orangutan, orang, orangutang, Pongo pygmaeus', 'jigsaw puzzle']",images\15371.jpeg
15374.jpeg,"['mountain bike, all-terrain bike, off-roader', 'moped', 'langur', 'chimpanzee, chimp, Pan troglodytes', 'comic book']",images\15374.jpeg
15393.jpeg,"['boathouse', 'fountain', 'gondola', 'book jacket, dust cover, dust jacket, dust wrapper']",images\15393.jpeg
15398.jpeg,"['comic book', 'gasmask, respirator, gas helmet', 'toyshop']",images\15398.jpeg
15416.jpeg,"['mountain tent', 'lakeside, lakeshore', 'shower curtain']",images\15416.jpeg
15430.jpeg,"['boathouse', 'mailbox, letter box', 'web site, website, internet site, site', 'barn']",images\15430.jpeg
15441.jpeg,"['lakeside, lakeshore', 'mountain tent', 'canoe', 'valley, vale', 'sandbar, sand bar']",images\15441.jpeg
15457.jpeg,"['lawn mower, mower', 'boathouse', 'harvester, reaper', 'lumbermill, sawmill', 'theater curtain, theatre curtain']",images\15457.jpeg
1547.jpeg,"['jeep, landrover', 'amphibian, amphibious vehicle']",images\1547.jpeg
15473.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'binder, ring-binder', 'web site, website, internet site, site', 'gorilla, Gorilla gorilla']",images\15473.jpeg
15475.jpeg,"['hook, claw', 'shovel', 'plate rack', 'switch, electric switch, electrical switch', 'paper towel']",images\15475.jpeg
15479.jpeg,"['wig', 'swing', 'sweatshirt', 'Band Aid', 'ice lolly, lolly, lollipop, popsicle']",images\15479.jpeg
1548.jpeg,"['alp', 'valley, vale']",images\1548.jpeg
15481.jpeg,"['worm fence, snake fence, snake-rail fence, Virginia fence', 'park bench', 'lakeside, lakeshore', 'dam, dike, dyke', 'missile']",images\15481.jpeg
1549.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'spider monkey, Ateles geoffroyi', 'howler monkey, howler', 'groenendael']",images\1549.jpeg
15492.jpeg,"['fountain', 'monitor', 'suspension bridge', 'viaduct', 'swing']",images\15492.jpeg
1551.jpeg,"['jeep, landrover', 'mountain tent', 'baboon', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'comic book']",images\1551.jpeg
15514.jpeg,['school bus'],images\15514.jpeg
15520.jpeg,"['vault', 'solar dish, solar collector, solar furnace', 'submarine, pigboat, sub, U-boat', 'theater curtain, theatre curtain', 'window screen']",images\15520.jpeg
1553.jpeg,"['alp', 'half track', 'barn', 'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis', 'ram, tup']",images\1553.jpeg
1554.jpeg,"['Bouvier des Flandres, Bouviers des Flandres', 'Kerry blue terrier', 'giant schnauzer', 'brown bear, bruin, Ursus arctos', 'American black bear, black bear, Ursus americanus, Euarctos americanus']",images\1554.jpeg
15540.jpeg,"['mountain tent', 'lakeside, lakeshore']",images\15540.jpeg
15554.jpeg,"['web site, website, internet site, site', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\15554.jpeg
1556.jpeg,"['gibbon, Hylobates lar', 'gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'spider monkey, Ateles geoffroyi']",images\1556.jpeg
15565.jpeg,"['lakeside, lakeshore', 'spotlight, spot', 'monitor', 'screen, CRT screen', 'television, television system']",images\15565.jpeg
15566.jpeg,"['lakeside, lakeshore']",images\15566.jpeg
1557.jpeg,['comic book'],images\1557.jpeg
1558.jpeg,"['ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin', 'capuchin, ringtail, Cebus capucinus', 'colobus, colobus monkey']",images\1558.jpeg
15588.jpeg,"['theater curtain, theatre curtain', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'bannister, banister, balustrade, balusters, handrail', 'mountain bike, all-terrain bike, off-roader']",images\15588.jpeg
15597.jpeg,"['baboon', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar']",images\15597.jpeg
15610.jpeg,"['shopping cart', 'bannister, banister, balustrade, balusters, handrail', 'stretcher', 'maze, labyrinth', 'patio, terrace']",images\15610.jpeg
15615.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'web site, website, internet site, site']",images\15615.jpeg
15621.jpeg,"['lakeside, lakeshore', 'baboon', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'giant schnauzer', 'canoe']",images\15621.jpeg
15627.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'comic book', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\15627.jpeg
1563.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar', 'gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\1563.jpeg
15630.jpeg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'jeep, landrover', 'snowplow, snowplough', 'pickup, pickup truck', 'tow truck, tow car, wrecker']",images\15630.jpeg
1564.jpeg,"['web site, website, internet site, site']",images\1564.jpeg
1565.jpeg,"['web site, website, internet site, site', 'envelope', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'menu']",images\1565.jpeg
15652.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\15652.jpeg
1567.jpeg,"['matchstick', 'nematode, nematode worm, roundworm', 'hook, claw']",images\1567.jpeg
1568.jpeg,"['airship, dirigible', 'volcano', 'geyser', 'missile']",images\1568.jpeg
1569.jpeg,"['bison', 'brown bear, bruin, Ursus arctos', 'giant schnauzer', 'American black bear, black bear, Ursus americanus, Euarctos americanus', 'Bouvier des Flandres, Bouviers des Flandres']",images\1569.jpeg
15694.jpeg,"['suspension bridge', 'valley, vale', 'cliff, drop, drop-off', 'alp', 'viaduct']",images\15694.jpeg
15696.jpeg,"['cougar, puma, catamount, mountain lion, painter, panther, Felis concolor', 'Siberian husky', 'Arctic fox, white fox, Alopex lagopus', 'timber wolf, grey wolf, gray wolf, Canis lupus']",images\15696.jpeg
1570.jpeg,"['hair spray', 'wig', 'face powder', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\1570.jpeg
1571.jpeg,"['street sign', 'traffic light, traffic signal, stoplight']",images\1571.jpeg
1572.jpeg,"['bubble', 'jellyfish', 'water bottle', 'hair slide', 'bolo tie, bolo, bola tie, bola']",images\1572.jpeg
15721.jpeg,"['snowmobile', 'dogsled, dog sled, dog sleigh', 'bison', 'geyser', 'mountain bike, all-terrain bike, off-roader']",images\15721.jpeg
1573.jpeg,"['cliff, drop, drop-off', 'megalith, megalithic structure', 'cliff dwelling', 'trilobite', 'promontory, headland, head, foreland']",images\1573.jpeg
15744.jpeg,"['fountain', 'brass, memorial tablet, plaque', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\15744.jpeg
15746.jpeg,"['maillot', 'maillot, tank suit', 'bannister, banister, balustrade, balusters, handrail', 'bikini, two-piece', 'swimming trunks, bathing trunks']",images\15746.jpeg
15747.jpeg,"['spider monkey, Ateles geoffroyi', 'baboon', 'chimpanzee, chimp, Pan troglodytes', 'pelican', 'macaque']",images\15747.jpeg
15767.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'jigsaw puzzle', 'web site, website, internet site, site']",images\15767.jpeg
1578.jpeg,"['langur', 'spider monkey, Ateles geoffroyi', 'macaque', 'chimpanzee, chimp, Pan troglodytes', 'colobus, colobus monkey']",images\1578.jpeg
15782.jpeg,['comic book'],images\15782.jpeg
1579.jpeg,"['lakeside, lakeshore', 'fountain', 'groenendael', 'schipperke', 'monitor']",images\1579.jpeg
15821.jpeg,"['comic book', 'web site, website, internet site, site', 'brass, memorial tablet, plaque', 'book jacket, dust cover, dust jacket, dust wrapper']",images\15821.jpeg
1584.jpeg,"['armadillo', 'skunk, polecat, wood pussy', 'grey fox, gray fox, Urocyon cinereoargenteus', 'badger', 'wood rabbit, cottontail, cottontail rabbit']",images\1584.jpeg
15844.jpeg,"['baboon', 'macaque', 'spider monkey, Ateles geoffroyi', 'langur', 'patas, hussar monkey, Erythrocebus patas']",images\15844.jpeg
1585.jpeg,"['wreck', 'stingray', 'platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus', 'electric ray, crampfish, numbfish, torpedo', 'snorkel']",images\1585.jpeg
15855.jpeg,"['tripod', 'alp', 'valley, vale', 'pedestal, plinth, footstall', 'ski']",images\15855.jpeg
1586.jpeg,"['pomegranate', 'wool, woolen, woollen', 'bell pepper', 'Granny Smith', 'spindle']",images\1586.jpeg
1587.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'curly-coated retriever', 'giant schnauzer', 'unicycle, monocycle']",images\1587.jpeg
15876.jpeg,"['lakeside, lakeshore', 'reel', 'television, television system', 'perfume, essence']",images\15876.jpeg
15885.jpeg,"['maze, labyrinth', 'bannister, banister, balustrade, balusters, handrail', 'mountain bike, all-terrain bike, off-roader', 'binoculars, field glasses, opera glasses', 'valley, vale']",images\15885.jpeg
1589.jpeg,"['starfish, sea star', 'stone wall', 'knot']",images\1589.jpeg
15895.jpeg,"['rocking chair, rocker', 'park bench', 'barrow, garden cart, lawn cart, wheelbarrow', 'sandbar, sand bar', 'cradle']",images\15895.jpeg
1591.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'shovel']",images\1591.jpeg
15923.jpeg,"['German shepherd, German shepherd dog, German police dog, alsatian', 'mountain bike, all-terrain bike, off-roader', 'malamute, malemute, Alaskan malamute']",images\15923.jpeg
15926.jpeg,"['baboon', 'cowboy hat, ten-gallon hat', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'macaque']",images\15926.jpeg
1593.jpeg,"['megalith, megalithic structure', 'sax, saxophone', 'stone wall', 'nail']",images\1593.jpeg
15939.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'comic book', 'television, television system']",images\15939.jpeg
1594.jpeg,"['geyser', 'alp', 'valley, vale', 'snowmobile']",images\1594.jpeg
1595.jpeg,"['prison, prison house', 'wreck', 'mosquito net', 'caldron, cauldron', 'tub, vat']",images\1595.jpeg
1596.jpeg,"['park bench', 'barn', 'rapeseed', 'church, church building', 'lakeside, lakeshore']",images\1596.jpeg
15969.jpeg,"['mountain bike, all-terrain bike, off-roader', 'bicycle-built-for-two, tandem bicycle, tandem', 'cliff, drop, drop-off', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\15969.jpeg
1597.jpeg,"['canoe', 'valley, vale', 'lakeside, lakeshore', 'chimpanzee, chimp, Pan troglodytes', 'scuba diver']",images\1597.jpeg
1598.jpeg,"['boathouse', 'barn', 'church, church building', 'alp', 'web site, website, internet site, site']",images\1598.jpeg
1599.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'spider monkey, Ateles geoffroyi', 'gibbon, Hylobates lar', 'langur']",images\1599.jpeg
160.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'mountain tent', 'spider monkey, Ateles geoffroyi', 'titi, titi monkey', 'baboon']",images\160.jpeg
1600.jpeg,"['web site, website, internet site, site', 'crossword puzzle, crossword', 'menu', 'brass, memorial tablet, plaque', 'rifle']",images\1600.jpeg
1601.jpeg,"['wreck', 'bannister, banister, balustrade, balusters, handrail', 'submarine, pigboat, sub, U-boat']",images\1601.jpeg
16013.jpeg,"['bannister, banister, balustrade, balusters, handrail', 'cliff, drop, drop-off', 'alp']",images\16013.jpeg
1602.jpeg,"['coral reef', 'sea snake', 'sea cucumber, holothurian', 'sea urchin', 'spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish']",images\1602.jpeg
1603.jpeg,"['binoculars, field glasses, opera glasses', 'valley, vale']",images\1603.jpeg
16038.jpeg,"['web site, website, internet site, site', 'comic book', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'jeep, landrover']",images\16038.jpeg
16053.jpeg,"['comic book', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'colobus, colobus monkey', 'book jacket, dust cover, dust jacket, dust wrapper', 'marmoset']",images\16053.jpeg
1606.jpeg,"['baboon', 'gibbon, Hylobates lar', 'macaque', 'spider monkey, Ateles geoffroyi', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\1606.jpeg
1608.jpeg,"['comic book', 'shower curtain', 'theater curtain, theatre curtain', 'book jacket, dust cover, dust jacket, dust wrapper', 'quill, quill pen']",images\1608.jpeg
1612.jpeg,"['gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes']",images\1612.jpeg
